CTA du site;Identifiant Multiplex;opérateur de multiplex;Canal;Zone principalement couverte;Département de la zone principalement couverte;COG étendu de la Commune Zone principalement couverte;Fréquence (MHz);Diffuseur;Commune d'implantation de l'émetteur;Adresse;Département de la commune d'implantation;COG étendu de Commune d'implantation de l'émetteur;MainId (décimal);SubId (décimal);TII;Statut;Longitude;Latitude;PAR de l'émetteur (dBW);Hauteur de l'antenne;Altitude;ANGLE_000;ANGLE_010;ANGLE_020;ANGLE_030;ANGLE_040;ANGLE_050;ANGLE_060;ANGLE_070;ANGLE_080;ANGLE_090;ANGLE_100;ANGLE_110;ANGLE_120;ANGLE_130;ANGLE_140;ANGLE_150;ANGLE_160;ANGLE_170;ANGLE_180;ANGLE_190;ANGLE_200;ANGLE_210;ANGLE_220;ANGLE_230;ANGLE_240;ANGLE_250;ANGLE_260;ANGLE_270;ANGLE_280;ANGLE_290;ANGLE_300;ANGLE_310;ANGLE_320;ANGLE_330;ANGLE_340;ANGLE_350
Lyon;Saint-Étienne_local_1;SAS Région Mux;8A;Saint-Étienne;42;42218;195,936;PHF COM;Saint-Étienne;le Guizay;42;42218;36;10;36|10;agréé et en vigueur;004E2338;45N2400;39,35;22;819;0;0;0;0;0;0;1;2;2;4;5;6;7;8;9;9;9;9;9;8;7;6;5;4;2;2;1;0;0;0;0;0;0;0;0;0
Poitiers;Orléans_étendu_1;SAS Compagnie des multiplex DAB;10A;Orléans;45;;209,936;TDF;Fleury-les-Aubrais;2a rue des Bicharderies;45;;08;10;08|10;agréé;001E5539;47N5636;39,54;88;125;6;7;7;7;7;7;7;7;6;5;4;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;5;6
Poitiers;Orléans_étendu_1;SAS Compagnie des multiplex DAB;10A;Blois;41;;209,936;TDF;Villebarou;21 rue Jules Berthonneau la Gargotière;41;;08;01;08|01;agréé;001E1811;47N3630;34,77;58;112;8;4;3;2;0;0;2;3;3;5;24;4;3;2;0;1;2;2;3;2;1;3;4;2;1;1;1;1;5;6;11;12;14;23;13;10
Poitiers;Orléans_étendu_1;SAS Compagnie des multiplex DAB;10A;Montargis;45;;209,936;TDF;Montargis;31 rue du Faubourg de la Chaussée;45;;08;02;08|02;agréé;002E4431;47N5954;36,02;49;88;7;7;7;7;6;5;4;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;5;6;6;7;7;7
Poitiers;Poitiers_étendu_1;SAS Compagnie des multiplex DAB;9C;Poitiers;86;;206,352;TDF;Poitiers;Couronneries hôp. D. Ch. (32 chemin des Crêtes ?);86;;01;10;01|10;agréé;000E2051;46N3529;37,78;61;110;7;7;7;7;7;6;5;4;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;5;6;6;7;7
Poitiers;Poitiers_étendu_1;SAS Compagnie des multiplex DAB;9C;Châtellerault;86;;206,352;TDF;Antran;station hertzienne d'Antran, la Barbotterie;86;;01;01;01|01;agréé;000E3135;46N5417;37,4;70;142;30;30;30;30;30;30;26;24;21;19;18;18;17;14;10;7;4;2;1;0;0;0;1;3;5;8;11;15;17;18;19;20;22;23;26;30
Poitiers;Poitiers_étendu_1;SAS Compagnie des multiplex DAB;9C;Niort;79;;206,352;TDF;Saint-Gelais;Fief Gâteau, rue des Genêts;79;;01;02;01|02;agréé;000W2550;46N2056;36,02;82;73;4;5;5;5;5;5;5;4;4;3;3;2;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;2;3;4
Poitiers;Tours_étendu_1;SAS Compagnie des multiplex DAB;6C;Tours;37;;185,36;Towercast;Tours;14 Chemin du télégraphe / 2 rue de Rochecorbon;37;;27;10;27|10;agréé;000E4327;47N2421;40;36;92;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0
Poitiers;Tours_étendu_1;SAS Compagnie des multiplex DAB;6C;Descartes;37;;185,36;Towercast;Buxeuil;Les vignes des liaumes;37;;27;01;27|01;agréé;000E4104;46N5752;32,3;27;103;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0
Poitiers;Tours_étendu_1;SAS Compagnie des multiplex DAB;6C;Chinon;37;;185,36;Towercast;Chinon;La Roche-Clermault;37;;27;02;27|02;étudié;000E1342;47N0810;34,15;20;106;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0
Lyon;Annecy_local_1;SAS Région Mux;11D;Annecy;74;74010;222,064;PHF COM;Annecy;lieudit Chanteloup, Annecy-le-Vieux;74;74010;31;01;31|01;agréé et en vigueur;006E1010;45N5458;39,03;25;652;8;9;11;11;12;13;13;13;13;13;13;13;12;11;11;9;8;6;5;3;2;1;1;0;0;0;0;0;0;0;1;1;2;3;5;6
Lyon;Grenoble_étendu_1;SAS Compagnie des multiplex DAB;5D;Grenoble;38;38185;180,064;Towercast;Seyssins;La Combe;38;;03;01;03|01;agréé et en vigueur;005E3954;45N0903;38,26;37;755;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0
Lyon;Grenoble_étendu_1;SAS Compagnie des multiplex DAB;5D;Voiron;38;;180,064;Towercast;Montaud;Mollard Guillon;38;;03;02;03|02;agréé et en vigueur;005E3246;45N1537;35,44;33;852;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0
Lyon;Grenoble_étendu_1;SAS Compagnie des multiplex DAB;5D;La Tour-du-Pin;38;;180,064;Towercast;La Tour-du-Pin;Champ Badieu Dessus;38;;03;03;03|03;agréé et en vigueur;005E2713;45N3328;34,15;12;364;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0
Nancy;Haguenau_local_1;SARL Club Opérateurs RNT Mux Strasbourg 1;7A;Haguenau;67;;188,928;PHF COM;Haguenau;64 av du professeur René Leriche;67;;23;03;23|03;agréé et en vigueur;48N4751;007E4646;35,56;50;162;0;0;0;0;0;0;0;0;0;0;1;2;2;4;5;6;7;8;9;9;9;9;9;8;7;6;5;4;2;2;1;0;0;0;0;0
Bordeaux;La Rochelle_local_1;SAS Opemux RNT;10C;La Rochelle;17;;213,36;Towercast;Puilboreau;rue du Château-d'eau;17;;06;10;06|10;agréé;46N1139;001W0650;36,99;53;32;9;9;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;9;9;9
Bordeaux;La Rochelle_étendu_1;SAS Compagnie des multiplex DAB;10D;La Rochelle;17;;215,072;TDF;Périgny;rue Augustin Fresnel;17;;16;10;16|10;agréé;46N0946;001W0545;37,78;80;18;2;4;5;6;7;7;7;7;7;7;7;7;6;5;4;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
Bordeaux;La Rochelle_étendu_1;SAS Compagnie des multiplex DAB;10D;Angoulême;16;;215,072;TDF;Angoulême;Petit Beauregard;16;;16;01;16|01;agréé;45N3825;000E0919;36,02;37;90;1;1;0;0;0;0;0;0;0;1;1;2;3;4;4;4;5;5;5;5;5;4;4;3;3;2;1;1;0;0;0;0;0;0;0;1
Bordeaux;La Rochelle_étendu_1;SAS Compagnie des multiplex DAB;10D;Rochefort;17;;215,072;TDF;Rochefort;Béligon-les quatre ânes, 4 route du Breuil;17;;16;02;16|02;agréé;45N5757;000W5810;36,02;52;25;5;4;4;3;3;2;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;2;3;4;4;4;5;5;5;5
Bordeaux;La Rochelle_étendu_1;SAS Compagnie des multiplex DAB;10D;Saintes;17;;215,072;TDF;Saintes;Stade Vélodrome, impasse du Vélodrome;17;;16;03;16|03;agréé;45N4417;000W3823;36,02;36;38;6;3;2;1;0;0;1;2;3;6;12;16;13;12;12;14;16;11;6;3;2;1;0;0;1;2;3;6;12;16;13;12;12;14;16;11
Lille;Valenciennes_local_1;SCIC SARL La Coopérative de Radiodiffusion;7A;Maubeuge;59;;188,928;La Coopérative de Radiodiffusion;Maubeuge;château d'eau, rue de Grévaux;59;;22;06;22|06;agréé et en vigueur;003E5519;50N1603;39,77;46;160;11;11;9;8;6;5;3;2;1;1;0;0;0;0;0;0;0;1;1;2;3;5;6;8;9;11;11;12;13;13;13;13;13;13;13;12
Marseille;Nice_étendu_1;SAS Radiomux;11A;Cannes;06;06029;216,928;TWC;Le Cannet;Mont le Pezou;06;06030;31;05;31|05;agréé et en vigueur;007E0206;43N3410;35,44;48;254;0;0;0;0;1;2;3;4;6;7;8;9;9;9;9;9;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;1;1;0
Marseille;Nice_étendu_1;SAS Radiomux;11A;Saint-Raphaël;83;83118;216,928;TDF;Saint-Raphaël;Bois du Grand Défens;83;83118;31;06;31|06;agréé et en vigueur;006E4842;43N2558;36,02;24;138;24;26;29;30;27;30;30;30;30;30;30;30;30;28;30;30;28;27;26;26;20;13;8;4;2;1;0;0;0;1;2;4;8;14;21;28
