CTA du site;Identifiant Multiplex;opérateur de multiplex;Canal;Zone principalement couverte;Département de la zone principalement couverte;COG étendu de la Commune Zone principalement couverte;Fréquence (MHz);Diffuseur;Commune d'implantation de l'émetteur;Adresse;Département de la commune d'implantation;COG étendu de Commune d'implantation de l'émetteur;MainId (décimal);SubId (décimal);TII;Statut;Longitude;Latitude;PAR de l'émetteur (dBW);Hauteur de l'antenne;Altitude;ANGLE_000;ANGLE_010;ANGLE_020;ANGLE_030;ANGLE_040;ANGLE_050;ANGLE_060;ANGLE_070;ANGLE_080;ANGLE_090;ANGLE_100;ANGLE_110;ANGLE_120;ANGLE_130;ANGLE_140;ANGLE_150;ANGLE_160;ANGLE_170;ANGLE_180;ANGLE_190;ANGLE_200;ANGLE_210;ANGLE_220;ANGLE_230;ANGLE_240;ANGLE_250;ANGLE_260;ANGLE_270;ANGLE_280;ANGLE_290;ANGLE_300;ANGLE_310;ANGLE_320;ANGLE_330;ANGLE_340;ANGLE_350
Lyon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;7A;Mâcon;71;71270;188,928;TDF;Cenves;Bois de Cenves;69;;19;03;19|03;agréé et en vigueur;004E4050;46N1654;40;76;728;4;2;1;0;0;1;2;2;3;4;5;5;5;4;3;2;1;0;0;1;2;4;6;9;12;17;21;18;16;17;21;23;17;13;9;7
Paris;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;6C;Paris;75;75056;185,36;Towercast;Paris 17e arrondissement;Hôtel Hyatt Regency Paris Étoile, 3 place du Général-Koenig;75;;11;01;11|01;agréé et en vigueur;002E1702;48N5248;40;167;37;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7
Paris;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;6C;Paris, Bagnolet;75;75056;185,36;Towercast;Bagnolet;Tour Mercuriales Ouest;93;;11;10;11|10;agréé et en vigueur;002E2455;48N5203;41,461;139;82;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3
Paris;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;6C;Égreville;77;77168;185,36;TDF;Égreville;La Marcelle du Bois Liard;77;;14;03;14|03;agréé et en vigueur;002E5253;48N0953;32,553;38;121;5;3;2;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;2;3;5;7;8;9;9;9;9;9;9;8;6
Paris;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;6C;Fontainebleau;77;77186;185,36;TDF;Fontainebleau;lieudit la Croix d'Augas;77;;14;10;14|10;agréé et en vigueur;002E4239;48N2536;37,482;46;156;2;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;1;2;4;5;7;9;10;10;10;9;10;10;10;9;7;6;4
Paris;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;7D;Grez-sur-Loing;77;77216;194,064;Towercast;Grez-sur-Loing;A6 District de Nemours les Vouzelles;77;;67;02;67|02;agréé et en vigueur;002E4055;48N1728;32,304;28;59;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4
Marseille;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;10B;Avignon;84;84007;211,648;TDF;Le Pontet;Centre DOTRN;84;;04;05;04|05;agréé et en vigueur;004E5135;43N5812;36,021;88;21;2;5;2;1;2;4;8;6;5;9;4;3;5;4;3;5;3;1;1;2;1;1;1;1;2;1;1;1;2;4;6;4;2;4;9;0
Dijon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;9D;Avallon;89;89025;208,064;Towercast;Annay-la-Côte;Les Petits Chaumes;89;;06;08;06|08;agréé et en vigueur;003E5338;47N3222;36,99;20;324;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8
Dijon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;9D;Bleigny-le-Carreau;89;89045;208,064;TDF;Bleigny-le-Carreau;Thureau Saint-Denis;89;;10;10;10|10;agréé et en vigueur;003E3959;47N5026;38,451;101;291;4;5;5;5;5;5;5;4;4;3;3;2;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;2;3;4
Paris;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;6C;Corbeil-Essonnes;91;91174;185,36;TDF;Lisses;Tour DTRN;91;;14;01;14|01;agréé et en vigueur;002E2634;48N3600;34,771;86;85;4;3;2;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;9;9;9;9;9;8;7;6
