01/01/1900,BBC Radio 5 live,Londonderry,Londonderry MF,BBC000005,909,IC40501765,175,107,"0.280,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.004653,-7.367867
01/01/1900,BBC Radio 5 live,Northern England,Moorside Edge,BBC000005,909,SE07071542,340,152,"400.000,008",,4,3,2,1,0,0,0,0,1,2,3,5,6,7,8,8,8,7,6,5,3,2,1,0,0,0,0,1,2,3,4,5,6,6,6,5,152,"502.000,327",4,3,2,1,0,0,0,0,1,2,3,5,6,7,8,8,8,7,6,5,3,2,1,0,0,0,0,1,2,3,4,5,6,6,6,5,53.635238,-1.894553
01/01/1900,BBC Radio 5 live,Exeter,Pearce's Hill,BBC000005,909,SX93098814,82,26,"0.200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.683057,-3.514661
01/01/1900,BBC Radio 5 live,Norfolk,Postwick,BBC000005,693,TG30380867,26,84,"14.999,991",,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,5,5,5,5,5,5,5,5,4,4,84,"15.799,997",3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,5,5,5,5,5,5,5,5,4,4,52.626852,1.402572
01/01/1900,BBC Radio 5 live,North East Scotland,Redmoss MF,BBC000005,693,NJ94340257,90,76,"0.800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.114016,-2.095089
01/01/1900,BBC Radio 5 live,Cornwall,Redruth MF,BBC000005,909,SW70934026,182,24,"0.400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,"2.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.217887,-5.2124
01/01/1900,BBC Radio 5 live,Sussex,Southwick,BBC000005,693,TQ23390510,5,83,"0.600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,"11.000,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.832284,-0.24922
01/01/1900,BBC Radio 5 live,Northumberland,Stagshaw,BBC000005,693,NY986709,213,145,"50.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,"59.999,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0326,-2.023437
01/01/1900,BBC Radio 5 live,South West England,Start Point,BBC000005,693,SX81413781,122,137,"80.000,002",,0,1,1,2,3,5,8,13,18,25,18,13,11,8,7,6,6,6,7,8,11,13,18,25,18,11,8,5,3,2,1,1,0,0,0,0,137,"157.999,968",0,1,1,2,3,5,8,13,18,25,18,13,11,8,7,6,6,6,7,8,11,13,18,25,18,13,8,5,3,2,1,1,0,0,0,0,50.228364,-3.663965
01/01/1900,BBC Radio 5 live,Wales,Tywyn,BBC000005,990,SH58070041,6,45,"0.400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.582906,-4.096237
01/01/1900,BBC Radio 5 live,Central Scotland,Westerglen,BBC000005,909,NS86647721,155,152,"69.999,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,"78.999,983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.974427,-3.818043
01/01/1900,BBC Radio 5 live,Cumbria,Whitehaven MF,BBC000005,909,NX974172,8,43,"0.400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.539612,-3.58734
01/01/1900,BBC Radio Cumbria (AM),Cumbria,Barrow,BBC000017,837,SD218707,23,46,"1.000,000",,1,0,0,0,0,0,1,1,2,3,4,7,9,13,16,16,12,10,8,7,6,6,6,7,8,10,12,17,18,12,9,6,4,3,2,1,46,"1.580,000",1,0,0,0,0,0,1,1,2,3,4,6,8,11,16,16,12,10,8,7,6,6,6,7,8,10,12,16,16,11,8,6,4,3,2,2,54.126165,-3.198099
01/01/1900,BBC Radio Cumbria (AM),Cumbria,Brisco,BBC000017,756,NY412526,38,46,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.864686,-2.917634
01/01/1900,BBC Radio Derby (AM),Derbyshire,Burnaston,BBC000018,1116,SK297314,60,17,"1.000,000",,0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,17,"1.260,001",0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,52.879237,-1.560132
01/01/1900,BBC Radio Gloucestershire (AM),Gloucestershire,Berkeley Heath,BBC000021,1413,ST709993,17,40,"0.200,000",,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"0.200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.691681,-2.422387
01/01/1900,BBC Radio Jersey (AM),Jersey,Trinity,BBC000050,1026,CI923249,105,45,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2247,-2.107062
01/01/1900,BBC Radio Norfolk (AM),Norfolk,West Lynn,BBC000033,873,TF612188,3,46,"0.250,000",,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,5,5,6,7,7,7,6,5,5,4,4,3,3,46,"0.380,000",2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,5,5,6,7,7,7,6,5,5,4,4,3,3,52.742777,0.386521
01/01/1900,BBC Radio Scotland (AM),Scotland,Burghead,BBC000006,810,NJ12496853,40,152,"100.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,"161.999,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.69801,-3.46983
01/01/1900,BBC Radio Scotland (AM),Central Scotland,Westerglen,BBC000006,810,NS86647721,155,152,"100.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,"161.999,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.974427,-3.818043
01/01/1900,BBC Radio Wales (AM),Wales,Washford,BBC000008,882,ST05844110,41,152,"10.000,000",,0,0,1,1,2,2,2,3,3,4,5,6,6,5,4,5,5,6,6,6,5,5,4,4,4,4,4,4,3,3,2,2,2,1,1,0,152,"11.999,993",0,0,1,1,2,2,2,3,3,4,5,6,6,5,4,5,5,6,6,6,5,5,4,4,4,4,4,4,3,3,2,2,2,1,1,0,51.161365,-3.347935
01/01/1900,BBC Somerset (AM),Somerset,Taunton MF,BBC000040,1566,ST23772533,21,36,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,"0.630,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02226,-3.088245
01/01/1900,BFBS,Bovington,Bovington Camp,LRSL000204,1287,SY832891,50,20,"0.001,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,"0.001,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.701288,-2.239253
05/08/2021,BFBS Gurkha Radio,Aldershot,Aldershot Garrison - St Omer Barracks,LRSL104248,1278,SU878520,83,10,"0.001,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"0.001,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.260401,-0.743088
05/08/2021,BFBS Gurkha Radio,Stafford,Beaconside Stafford,LRSL104240,1278,SJ939242,78,10,"0.004,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"0.004,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.815291,-2.091948
05/08/2021,BFBS Gurkha Radio,Blandford Forum,Blandford Camp,LRSL104241,1287,ST920084,80,10,"0.001,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"0.001,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.875033,-2.115071
05/08/2021,BFBS Gurkha Radio,Nuneaton,Bramcote Barracks,LRSL104243,1134,SP408885,111,10,"0.001,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"0.001,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.492879,-1.400508
05/08/2021,BFBS Gurkha Radio,Brecon,Brecon Barracks,LRSL104242,1287,SO045285,133,10,"0.001,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"0.001,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.946758,-3.390856
